id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
7179971,Luxury beachfront apartment,37614328,Chantal,,Ward 83,-34.10127,18.81616,Entire home/apt,946,14,0,,,1,0
7184136,Holiday Apartment in Durbanville,37531308,Natalie,,Ward 112,-33.83211,18.67218,Entire home/apt,425,1,24,2018-12-03,1.03,2,342
7186230,Lea Villa - Large Family Home,37644899,Brian,,Ward 73,-34.04037,18.45766,Entire home/apt,3497,5,5,2018-03-08,0.13,1,262
7186938,Cozy room - Villa Sunshine,9545705,Henning,,Ward 54,-33.92469,18.3813,Private room,1097,1,1,2017-09-23,0.06,7,365
7187306,Seafacing room - Villa Sunshine,9545705,Henning,,Ward 54,-33.92344,18.38291,Private room,1385,1,1,2016-02-06,0.03,7,365
7187363,"Charming flat on Long Street, heart of Cape Town",37649068,Hannah,,Ward 115,-33.92728,18.41312,Entire home/apt,905,1,7,2017-01-29,0.17,1,0
7189013,Gated Estate Home (Upper Claremont),37655193,James And Jenny,,Ward 62,-33.99597,18.45862,Entire home/apt,5005,7,5,2019-01-04,0.13,1,91
7196435,Luxury Apartment,37685572,Colin,,Ward 55,-33.88421,18.51949,Entire home/apt,1028,2,11,2018-03-31,0.26,5,364
7200479,"Modern,spacious,perfect location",9577601,Rajay,,Ward 59,-33.98204,18.46177,Entire home/apt,4004,1,6,2017-01-05,0.16,1,365
7209892,Mountain View room - Villa Sunshine,9545705,Henning,,Ward 54,-33.92343,18.38115,Private room,1275,1,1,2015-12-15,0.03,7,365
7210303,Seaview room - Villa Sunshine,9545705,Henning,,Ward 54,-33.92457,18.38081,Private room,1385,1,0,,,7,365
7212002,Seaview twin room - Villa Sunshine,9545705,Henning,,Ward 54,-33.92347,18.38082,Private room,1385,1,0,,,7,365
7212599,Seaview twin room - Villa Sunshine,9545705,Henning,,Ward 54,-33.92451,18.38156,Private room,1687,1,6,2017-08-09,0.15,7,365
7212931,"Green Point Apt with Balcony, Parking, Free Wifi",2516345,Jaco,,Ward 115,-33.90883,18.40526,Entire home/apt,631,3,4,2017-10-31,0.11,60,351
7213271,Cozy Garden Studio with Free Wifi,2516345,Jaco,,Ward 77,-33.9367,18.42615,Entire home/apt,795,3,0,,,60,362
7213421,16 on Kendal,37767490,Beronice & Cobus,,Ward 21,-33.85831,18.64684,Entire home/apt,603,1,27,2018-02-11,0.71,2,348
7213878,"The Gables, large family house in Hout Bay",2533116,Anita & Gerrie,,Ward 74,-34.04003,18.34812,Entire home/apt,1783,5,10,2017-12-04,0.24,5,239
7214177,"Modern & luxury Beach Townhouse, Hout Bay",2533116,Anita & Gerrie,,Ward 74,-34.0432,18.35495,Entire home/apt,2016,5,1,2018-12-15,0.50,5,271
